"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\componentsFood\allergen.java", "Java", 18, 0, 7, 25
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\componentsFood\category.java", "Java", 23, 0, 8, 31
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\componentsFood\employee.java", "Java", 38, 0, 10, 48
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\componentsFood\ingredient.java", "Java", 50, 0, 12, 62
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\componentsFood\menu.java", "Java", 33, 0, 10, 43
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\componentsFood\product.java", "Java", 33, 0, 9, 42
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\componentsFood\provider.java", "Java", 23, 0, 8, 31
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\componentsFood\role.java", "Java", 18, 0, 7, 25
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\componentsFood\shift.java", "Java", 50, 0, 12, 62
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\driver.java", "Java", 6, 0, 1, 7
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\iLayouts\FlowLayoutApplyer.java", "Java", 12, 0, 5, 17
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\iLayouts\GridLayoutApplyer.java", "Java", 18, 0, 5, 23
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\iLayouts\iLayout.java", "Java", 4, 0, 2, 6
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\iLayouts\placeholderLayoutApplyer.java", "Java", 9, 0, 4, 13
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\employeesAPI.java", "Java", 327, 1, 25, 353
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\employees_eWindow\add_eWindow.java", "Java", 83, 0, 17, 100
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\employees_eWindow\assist_edit_eWindow.java", "Java", 124, 0, 19, 143
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\employees_eWindow\check_eWindow.java", "Java", 53, 0, 11, 64
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\employees_eWindow\delete_eWindow.java", "Java", 70, 0, 12, 82
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\employees_eWindow\edit_eWindow.java", "Java", 63, 0, 14, 77
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\employees_eWindow\main_eWindow.java", "Java", 58, 0, 9, 67
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\main_employees_Window.java", "Java", 44, 0, 9, 53
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\roles_eWindow\add_rWindow.java", "Java", 49, 0, 10, 59
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\roles_eWindow\assist_edit_rWindow.java", "Java", 78, 0, 14, 92
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\roles_eWindow\check_rWindow.java", "Java", 47, 0, 12, 59
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\roles_eWindow\delete_rWindow.java", "Java", 72, 0, 11, 83
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\roles_eWindow\edit_rWindow.java", "Java", 64, 0, 11, 75
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\employees_Window\roles_eWindow\main_rWindow.java", "Java", 58, 0, 9, 67
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\main_adminstration_Window.java", "Java", 48, 2, 9, 59
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\shifts_Window\add_sWindow.java", "Java", 150, 1, 19, 170
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\shifts_Window\assist_check_sWindow.java", "Java", 63, 2, 10, 75
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\shifts_Window\assist_edit_sWindow.java", "Java", 146, 1, 19, 166
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\shifts_Window\check_sWindow.java", "Java", 68, 0, 10, 78
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\shifts_Window\edit_sWindow.java", "Java", 68, 0, 10, 78
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\shifts_Window\main_sWindow.java", "Java", 54, 4, 9, 67
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\shifts_Window\shiftsAPI.java", "Java", 311, 2, 23, 336
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\allergensWindow\add_aWindow.java", "Java", 49, 0, 11, 60
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\allergensWindow\allergensAPI.java", "Java", 243, 4, 17, 264
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\allergensWindow\assist_editIngr_aWindow.java", "Java", 116, 0, 18, 134
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\allergensWindow\assist_edit_aWindow.java", "Java", 80, 0, 13, 93
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\allergensWindow\check_aWindow.java", "Java", 46, 0, 12, 58
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\allergensWindow\delete_aWindow.java", "Java", 77, 0, 12, 89
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\allergensWindow\editIngr_aWindow.java", "Java", 80, 0, 14, 94
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\allergensWindow\edit_aWindow.java", "Java", 63, 0, 14, 77
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\allergensWindow\main_aWindow.java", "Java", 66, 0, 6, 72
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\categoryWindow\add_cWindow.java", "Java", 63, 0, 9, 72
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\categoryWindow\assist_edit_cWindow.java", "Java", 87, 0, 14, 101
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\categoryWindow\categoryAPI.java", "Java", 258, 3, 17, 278
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\categoryWindow\check_cWindow.java", "Java", 52, 0, 12, 64
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\categoryWindow\delete_cWindow.java", "Java", 72, 0, 12, 84
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\categoryWindow\edit_cWindow.java", "Java", 68, 0, 12, 80
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\categoryWindow\main_cWindow.java", "Java", 58, 0, 9, 67
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\add_iWindow.java", "Java", 64, 0, 10, 74
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\assist_add_iWindow.java", "Java", 99, 0, 14, 113
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\assist_assist_add_iWindow.java", "Java", 115, 0, 17, 132
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\assist_assist_edit_iWindow.java", "Java", 147, 0, 18, 165
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\assist_check_iWindow.java", "Java", 72, 0, 18, 90
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\assist_edit_iWindow.java", "Java", 135, 0, 16, 151
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\check_iWindow.java", "Java", 87, 0, 13, 100
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\delete_iWindow.java", "Java", 115, 0, 16, 131
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\edit_iWindow.java", "Java", 75, 0, 14, 89
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\ingredientsAPI.java", "Java", 466, 6, 34, 506
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\ingredientsWindow\main_iWindow.java", "Java", 67, 0, 9, 76
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\main_food_Window.java", "Java", 69, 0, 9, 78
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\menuWindow\add_mWindow.java", "Java", 80, 0, 13, 93
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\menuWindow\assist_add_mWindow.java", "Java", 146, 0, 20, 166
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\menuWindow\assist_assist_edit_mWindow.java", "Java", 232, 0, 28, 260
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\menuWindow\assist_check_mWindow.java", "Java", 63, 0, 13, 76
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\menuWindow\assist_edit_mWindow.java", "Java", 119, 0, 15, 134
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\menuWindow\check_mWindow.java", "Java", 75, 0, 14, 89
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\menuWindow\delete_mWindow.java", "Java", 80, 0, 14, 94
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\menuWindow\edit_mWindow.java", "Java", 77, 0, 13, 90
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\food\menuWindow\main_mWindow.java", "Java", 58, 0, 9, 67
